name,A,Asign,B,Bsign,C,Csign
1,0.643011484,1,0.424157056,1,0.000303942,1
2,0.048856417,-1,0.562342605,-1,0.012728682,1
3,0.77205897,1,0.508728017,1,0.000477664,1
4,0.173085936,1,0.223730763,-1,0.027694372,1
5,0.246565884,1,0.182682624,1,0.000508587,-1
6,0.384820774,1,0.246565884,1,0.017530018,-1
7,0.014960455,-1,0.523928145,-1,0.1475014,1
8,0.53754493,1,0.067402368,-1,0.223327802,-1
9,0.000846725,-1,0.426918946,1,0.002383214,1
10,0.187218611,-1,0.914749637,-1,0.092926222,1
11,0.000621993,-1,0.041225758,1,0.141627265,1
12,0.405670256,1,0.000959203,-1,0.589964678,1
13,0.104755547,-1,0.384820774,-1,0.001756571,-1
14,0.907753122,-1,0.134767615,-1,0.013211207,-1
15,0.728126128,-1,0.000103708,-1,0.000508587,-1
16,1,-1,0.00095867,-1,0.000409121,-1
17,0.1475014,1,0.003769572,-1,0.00913008,1
18,0.182682624,1,0.004527065,1,0.00913008,-1
19,5.12E-05,-1,0.014340477,-1,0.827096009,-1
20,0.054636568,-1,4.88E-05,1,0.014960455,1
21,0.104755547,1,0.002136027,-1,0.000328067,-1
22,0.086197328,-1,0.000178176,-1,0.010796788,1
23,0.012728682,-1,2.86E-05,-1,2.76E-05,-1
24,0.017530018,1,1.63E-05,1,3.73E-05,-1
25,0.104755547,-1,0.000112164,-1,0.017530018,1
26,3.48E-05,1,1.92E-06,-1,0.002735096,-1
27,0.010796788,-1,0.000630237,1,0.042582798,1
28,7.28E-06,-1,5.00E-05,-1,0.000518117,-1
29,6.21E-05,-1,3.90E-05,1,0.000103009,-1
30,0.000464855,1,8.64E-06,-1,0.000122364,-1
